State,Quarter,CrashID,Month,Year,Hour,Crash_Type,Number_of_Fatalities,Bus_Involvement,Heavy_Rigid_Truck_Involvement,Speed Group,Articulated_Truck_Involvement,Speed_Limit
SA,1,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,110
VIC,1,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,80
NSW,2,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
WA,2,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,Yes,110
TAS,2,1st Quarter,01.January,2016,Night, Multiple vehicle,2,No,No,Speed D:Slow,No,80
TAS,3,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
QLD,3,1st Quarter,01.January,2016,Afternoon,Pedestrian,1,No,No,Speed D:Slow,No,60
VIC,4,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed C:Medium,No,50
WA,4,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,4,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
NSW,4,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,60
NSW,5,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed C:Medium,No,50
NSW,7,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,80
NSW,8,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
WA,8,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,70
NSW,9,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed C:Medium,No,50
WA,9,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
SA,9,1st Quarter,01.January,2016,Morning, Multiple vehicle,3,No,No,Speed D:Slow,No,80
NSW,9,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,60
QLD,9,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
WA,9,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
QLD,9,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
VIC,10,1st Quarter,01.January,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,70
VIC,10,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
WA,10,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,90
VIC,10,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
NT,11,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,12,1st Quarter,01.January,2016,Morning,Pedestrian,1,No,No,Speed D:Slow,No,60
QLD,12,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
VIC,13,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
NSW,13,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,13,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,13,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
QLD,14,1st Quarter,01.January,2016,Morning, Multiple vehicle,2,No,No,Speed D:Slow,No,110
WA,14,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,110
WA,14,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,110
NSW,14,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
VIC,14,1st Quarter,01.January,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,60
NSW,15,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
QLD,15,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,60
QLD,16,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,60
NSW,16,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,80
VIC,16,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed C:Medium,No,50
NSW,16,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
QLD,16,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,110
SA,18,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,110
NSW,18,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
TAS,18,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed C:Medium,No,50
NSW,18,1st Quarter,01.January,2016,Afternoon,Pedestrian,1,No,No,Speed D:Slow,No,70
WA,18,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,2,No,No,Speed D:Slow,No,110
QLD,19,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
SA,19,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
VIC,20,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,Yes,Speed D:Slow,No,60
WA,20,1st Quarter,01.January,2016,Morning, Multiple vehicle,2,No,No,Speed D:Slow,No,110
NT,20,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
QLD,20,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,Yes,80
QLD,21,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed C:Medium,No,50
TAS,22,1st Quarter,01.January,2016,Night, Multiple vehicle,1,No,No,Speed C:Medium,No,50
WA,22,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,110
WA,22,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,110
QLD,22,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
TAS,22,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,110
VIC,22,1st Quarter,01.January,2016,Afternoon,Pedestrian,1,No,No,Speed D:Slow,No,70
NSW,22,1st Quarter,01.January,2016,Night,Pedestrian,1,No,No,Speed D:Slow,No,60
QLD,22,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
NSW,23,1st Quarter,01.January,2016,Afternoon,Pedestrian,1,No,No,Speed C:Medium,No,50
VIC,23,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,24,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
WA,24,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,80
QLD,25,1st Quarter,01.January,2016,Morning,Pedestrian,1,No,No,Speed D:Slow,No,60
NSW,25,1st Quarter,01.January,2016,Morning,Pedestrian,1,No,No,Speed C:Medium,No,50
QLD,25,1st Quarter,01.January,2016,Afternoon,Pedestrian,1,No,No,Speed D:Slow,No,60
NSW,25,1st Quarter,01.January,2016,Afternoon,Pedestrian,1,No,No,Speed C:Medium,No,40
NSW,26,1st Quarter,01.January,2016,Morning, Multiple vehicle,2,No,No,Speed D:Slow,No,100
VIC,26,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,26,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,60
VIC,26,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
VIC,27,1st Quarter,01.January,2016,Night, Multiple vehicle,2,No,No,Speed D:Slow,No,100
NSW,27,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,Yes,80
WA,27,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,110
WA,27,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,110
VIC,27,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,60
VIC,27,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,2,No,No,Speed D:Slow,No,100
QLD,27,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,Yes,Speed D:Slow,No,80
NSW,28,1st Quarter,01.January,2016,Morning,Pedestrian,1,No,No,Speed D:Slow,No,60
TAS,28,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,Yes,Speed D:Slow,No,100
VIC,28,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,90
VIC,28,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,Yes,100
NT,28,1st Quarter,01.January,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,110
VIC,29,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,29,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
WA,29,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,29,1st Quarter,01.January,2016,Night,Pedestrian,1,No,No,Speed D:Slow,No,60
WA,29,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,80
QLD,30,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,30,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,80
SA,31,1st Quarter,01.January,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,100
QLD,1,1st Quarter,02.February,2016,Afternoon,Pedestrian,1,No,No,Speed D:Slow,No,60
VIC,2,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed C:Medium,No,50
VIC,2,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,80
SA,2,1st Quarter,02.February,2016,Night,Pedestrian,1,No,No,Speed D:Slow,No,60
WA,3,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,Yes,110
NSW,3,1st Quarter,02.February,2016,Morning,Pedestrian,1,No,Yes,Speed D:Slow,No,60
NSW,3,1st Quarter,02.February,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
NSW,3,1st Quarter,02.February,2016,Afternoon,Pedestrian,1,Yes,No,Speed C:Medium,No,50
SA,3,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed C:Medium,No,50
WA,3,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,110
QLD,4,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,Yes,100
SA,4,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,Yes,No,Speed D:Slow,No,60
VIC,4,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,70
VIC,6,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
SA,6,1st Quarter,02.February,2016,Morning,Single vehicle,1,No,No,Speed C:Medium,No,50
NSW,6,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,80
NSW,6,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
WA,6,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,110
WA,6,1st Quarter,02.February,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,60
NSW,7,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,60
WA,7,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,60
NSW,7,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
NSW,7,1st Quarter,02.February,2016,Afternoon,Pedestrian,1,No,No,Speed D:Slow,No,60
NSW,8,1st Quarter,02.February,2016,Morning,Pedestrian,1,No,No,Speed C:Medium,No,50
NSW,8,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,Yes,Speed D:Slow,No,70
VIC,8,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
VIC,8,1st Quarter,02.February,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,60
VIC,9,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,Yes,100
VIC,9,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed C:Medium,No,50
VIC,9,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,60
QLD,9,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
VIC,9,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,60
VIC,10,1st Quarter,02.February,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,10,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,Yes,60
VIC,10,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
VIC,10,1st Quarter,02.February,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,100
WA,11,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,70
QLD,12,1st Quarter,02.February,2016,Morning,Single vehicle,1,No,No,Speed C:Medium,No,50
VIC,12,1st Quarter,02.February,2016,Morning,Pedestrian,1,No,No,Speed C:Medium,No,50
VIC,12,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,12,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
NSW,12,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
VIC,12,1st Quarter,02.February,2016,Night,Pedestrian,1,No,No,Speed D:Slow,No,60
NSW,13,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
SA,13,1st Quarter,02.February,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,13,1st Quarter,02.February,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,80
NSW,13,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
VIC,13,1st Quarter,02.February,2016,Night,Pedestrian,1,No,No,Speed D:Slow,No,100
VIC,15,1st Quarter,02.February,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,Yes,60
VIC,15,1st Quarter,02.February,2016,Morning,Pedestrian,1,No,No,Speed D:Slow,No,60
QLD,16,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
VIC,16,1st Quarter,02.February,2016,Morning,Pedestrian,1,No,Yes,Speed C:Medium,No,50
WA,16,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,110
WA,16,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed C:Medium,No,50
QLD,16,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,Yes,No,Speed D:Slow,No,100
QLD,16,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,Yes,Speed D:Slow,No,100
QLD,16,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,Yes,Speed D:Slow,No,70
WA,16,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,18,1st Quarter,02.February,2016,Morning,Pedestrian,1,No,No,Speed C:Medium,No,50
QLD,18,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,Yes,100
NT,18,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,18,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,70
VIC,18,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,80
NSW,19,1st Quarter,02.February,2016,Afternoon,Pedestrian,1,No,No,Speed C:Medium,No,50
WA,19,1st Quarter,02.February,2016,Night,Single vehicle,2,No,No,Speed D:Slow,No,110
NSW,20,1st Quarter,02.February,2016,Night,Single vehicle,3,No,No,Speed C:Medium,No,50
NSW,20,1st Quarter,02.February,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,80
NSW,20,1st Quarter,02.February,2016,Morning,Single vehicle,1,No,No,Speed C:Medium,No,50
WA,20,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,20,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,80
VIC,20,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,20,1st Quarter,02.February,2016,Night,Pedestrian,1,No,No,Speed D:Slow,No,60
QLD,21,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,80
NSW,21,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed C:Medium,No,50
VIC,21,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,80
NSW,21,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,60
VIC,21,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
QLD,22,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,Yes,100
VIC,22,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
NSW,23,1st Quarter,02.February,2016,Morning,Pedestrian,1,No,No,Speed C:Medium,Yes,50
VIC,23,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,80
QLD,24,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
NSW,24,1st Quarter,02.February,2016,Night,Single vehicle,2,No,No,Speed D:Slow,No,60
VIC,24,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,60
NSW,24,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
VIC,24,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed C:Medium,No,50
NT,24,1st Quarter,02.February,2016,Night,Pedestrian,1,No,No,Speed D:Slow,No,100
NT,25,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed C:Medium,No,40
NSW,25,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,80
VIC,25,1st Quarter,02.February,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
VIC,25,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,60
VIC,26,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
NSW,26,1st Quarter,02.February,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,26,1st Quarter,02.February,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
VIC,26,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,0,No,unknown
VIC,27,1st Quarter,02.February,2016,Night,Pedestrian,1,No,No,Speed D:Slow,No,60
QLD,27,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
VIC,27,1st Quarter,02.February,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,80
NSW,28,1st Quarter,02.February,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,60
NSW,28,1st Quarter,02.February,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,1,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,80
VIC,2,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
NSW,2,1st Quarter,03.March,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,80
ACT,2,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,80
SA,3,1st Quarter,03.March,2016,Morning,Pedestrian,2,No,No,Speed D:Slow,No,60
VIC,3,1st Quarter,03.March,2016,Afternoon,Pedestrian,1,No,No,Speed D:Slow,No,110
VIC,3,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,2,No,Yes,Speed D:Slow,No,100
VIC,3,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
QLD,4,1st Quarter,03.March,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
WA,4,1st Quarter,03.March,2016,Morning, Multiple vehicle,2,No,Yes,Speed C:Medium,No,50
NSW,4,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,60
VIC,4,1st Quarter,03.March,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,70
VIC,5,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,Yes,Speed D:Slow,No,110
NSW,5,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,1,No,No,Speed C:Medium,No,50
NSW,5,1st Quarter,03.March,2016,Night,Pedestrian,1,No,No,Speed C:Medium,No,50
SA,5,1st Quarter,03.March,2016,Night,Single vehicle,2,No,No,Speed D:Slow,Yes,110
NSW,5,1st Quarter,03.March,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,80
WA,5,1st Quarter,03.March,2016,Night,Single vehicle,3,No,No,Speed D:Slow,No,60
VIC,6,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,80
WA,6,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,110
WA,6,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,110
QLD,6,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
TAS,6,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
WA,6,1st Quarter,03.March,2016,Night, Multiple vehicle,3,No,No,Speed D:Slow,No,90
WA,7,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,60
NSW,7,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,1,No,Yes,Speed D:Slow,No,80
VIC,7,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
NSW,8,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed C:Medium,No,50
WA,8,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,Yes,110
VIC,8,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,8,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,1,No,Yes,Speed D:Slow,No,90
VIC,8,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
VIC,8,1st Quarter,03.March,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,80
QLD,8,1st Quarter,03.March,2016,Night,Pedestrian,1,No,No,Speed D:Slow,No,100
NSW,9,1st Quarter,03.March,2016,Night, Multiple vehicle,1,No,Yes,Speed C:Medium,No,50
NSW,9,1st Quarter,03.March,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,60
VIC,10,1st Quarter,03.March,2016,Morning, Multiple vehicle,2,No,No,Speed D:Slow,No,100
VIC,10,1st Quarter,03.March,2016,Afternoon,Pedestrian,1,No,No,Speed C:Medium,Yes,50
NSW,10,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
TAS,10,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,11,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
NSW,11,1st Quarter,03.March,2016,Morning,Pedestrian,1,No,No,Speed D:Slow,No,60
NSW,11,1st Quarter,03.March,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,60
NSW,11,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,1,No,Yes,Speed D:Slow,No,100
QLD,11,1st Quarter,03.March,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,60
SA,12,1st Quarter,03.March,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,90
SA,12,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed C:Medium,No,50
NSW,12,1st Quarter,03.March,2016,Morning, Multiple vehicle,1,No,Yes,Speed D:Slow,No,80
VIC,12,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed C:Medium,No,50
TAS,12,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
WA,12,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
QLD,13,1st Quarter,03.March,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,60
NSW,13,1st Quarter,03.March,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
NSW,13,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,110
VIC,14,1st Quarter,03.March,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,80
VIC,14,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,14,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,80
QLD,14,1st Quarter,03.March,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,60
ACT,15,1st Quarter,03.March,2016,Night,Single vehicle,1,No,No,Speed C:Medium,No,50
SA,15,1st Quarter,03.March,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,Yes,100
NSW,15,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,1,Yes,No,Speed D:Slow,No,60
VIC,15,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed C:Medium,No,50
WA,15,1st Quarter,03.March,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,15,1st Quarter,03.March,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,Yes,80
QLD,16,1st Quarter,03.March,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,60
NT,16,1st Quarter,03.March,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,Yes,110
NSW,17,1st Quarter,03.March,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,Yes,100
QLD,17,1st Quarter,03.March,2016,Afternoon,Pedestrian,1,No,No,Speed C:Medium,No,50
VIC,18,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,18,1st Quarter,03.March,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
NT,18,1st Quarter,03.March,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,19,1st Quarter,03.March,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
VIC,19,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,90
WA,19,1st Quarter,03.March,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,110
